description,sku,price,retail,uri,img
Gaseosa Sprite Botella 500 ml,13189,S/. 2.40,wong,https://www.wong.pe/gaseosa-sprite-botella-500-ml-13189/p,https://wongfood.vteximg.com.br/arquivos/ids/155957-1000-1000/Gaseosa-Sprite-Botella-500-ml-13189.jpg?v=636052203307200000
Gaseosa SPRITE Lima limón Botella 500ml,382618,S/ 2.40,plaza_vea,https://www.plazavea.com.pe/382618-obsoleto/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Gaseosa Sprite Botella 500 ml,13189,S/. 2.40,metro,https://www.metro.pe/gaseosa-sprite-botella-500-ml-13189/p,https://wongfood.vteximg.com.br/arquivos/ids/155957-1000-1000/Gaseosa-Sprite-Botella-500-ml-13189.jpg?v=636052203307200000
Sazonador Ajinomoto Bolsa 500 g,4340,S/. 8.20,wong,https://www.wong.pe/sazonador-ajinomoto-bolsa-500-g-4340/p,https://wongfood.vteximg.com.br/arquivos/ids/343633-1000-1000/4340-1.jpg?v=637152284517700000
Sazonador AJI-NO-MOTO Umami Glutamato de Sodio Bolsa 500Gr,163941,S/ 7.50,plaza_vea,https://www.plazavea.com.pe/sazonador-aji-no-moto-umami-glutamato-de-sodio-bolsa-500gr/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Sazonador Ajinomoto Bolsa 500 g,4340,S/. 5.69,metro,https://www.metro.pe/sazonador-ajinomoto-bolsa-500-g-4340/p,https://wongfood.vteximg.com.br/arquivos/ids/343633-1000-1000/4340-1.jpg?v=637152284517700000
Aceite Vegetal Primor Clásico Botella 1 L,3201,S/. 6.75,wong,https://www.wong.pe/aceite-vegetal-primor-clasico-botella-1-l-3201/p,https://wongfood.vteximg.com.br/arquivos/ids/225126-1000-1000/3201-1.jpg?v=636628723395000000
Aceite Vegetal PRIMOR Botella 1L,161,S/ 6.49,plaza_vea,https://www.plazavea.com.pe/aceite-vegetal-primor-botella-1l/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Aceite Vegetal Primor Clásico Botella 1 L,3201,S/. 6.75,metro,https://www.metro.pe/aceite-vegetal-primor-clasico-botella-1-l-3201/p,https://wongfood.vteximg.com.br/arquivos/ids/225126-1000-1000/3201-1.jpg?v=636628723395000000
Aceite Vegetal PRIMOR Botella 1L,161,S/ 6.99,vivanda,https://www.vivanda.com.pe/aceite-vegetal-primor-botella-1l/p,https://vivanda.vteximg.com.br/arquivos/ids/162110-618-618/161.jpg?v=636137728032100000
ACEITE VEGETAL PRIMOR - BOTELLA 1 LT,primor-aceite-vegetal-40896347/p/,s/ 6.19,tottus,https://www.tottus.com.pe/primor-aceite-vegetal-40896347/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-MHhuHve0.jpg
Sazonador AJI-NO-MOTO Umami Glutamato de Sodio Bolsa 500Gr,163941,S/ 7.80,vivanda,https://www.vivanda.com.pe/sazonador-aji-no-moto-umami-glutamato-de-sodio-bolsa-500gr/p,https://vivanda.vteximg.com.br/arquivos/ids/178840-618-618/163941.jpg?v=636973645426500000
SAZONADOR AJINOMOTO - SOBRE 500 GR,ajinomoto-sazonador-10164368/p/,s/ 8.9,tottus,https://www.tottus.com.pe/ajinomoto-sazonador-10164368/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-xEQqtt0s.jpg
"LG Smart TV NanoCell 49"" UHD 49NANO81",793650,"S/. 1,899.00",wong,https://www.wong.pe/lg-smart-tv-nanocell-49-uhd-49nano81-793650/p,https://wongfood.vteximg.com.br/arquivos/ids/381267-1000-1000/LG-Smart-TV-NanoCell-49-UHD-49NANO81-1-150438307.jpg?v=637360712050830000
Televisor LG NanoCell LED 49'' 4K Smart TV AI 49NANO81 (2020),20197304,"S/ 2,199.00",plaza_vea,https://www.plazavea.com.pe/televisor-lg-nanocell-led-49-4k-smart-tv-ai-49nano81-2020/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
"LG Smart TV NanoCell 49"" UHD 49NANO81",793650,"S/. 1,899.00",metro,https://www.metro.pe/lg-smart-tv-nanocell-49-uhd-49nano81-793650/p,https://wongfood.vteximg.com.br/arquivos/ids/381267-1000-1000/LG-Smart-TV-NanoCell-49-UHD-49NANO81-1-150438307.jpg?v=637360712050830000
Televisor LG NanoCell LED 49'' 4K Smart TV AI 49NANO81 (2020),televisor-lg-nanocell-led-49---4k-smart-tv-ai-49nano81--2020--38203/p,"S/ 2,199.00",vivanda,https://www.vivanda.com.pe/televisor-lg-nanocell-led-49---4k-smart-tv-ai-49nano81--2020--38203/p,https://vivanda.vteximg.com.br/arquivos/ids/187826-618-618/image-91bd7fb95b6743cda8533d8934a43bf2.jpg?v=637311456187970000
"TV NANOCELL 49'' UHD 4K THINQ AI 49NANO81 (2020) LG - 49""",lg-tv-nanocell-49-ultrahd-4k-thinq-ai-42127276/p/,"s/ 1,999",tottus,https://www.tottus.com.pe/lg-tv-nanocell-49-ultrahd-4k-thinq-ai-42127276/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-tNqiAcTK.jpg
Arroz Extra Costeño Bolsa 5 Kg,14974,S/. 21.39,wong,https://www.wong.pe/arroz-extra-costeno-bolsa-5-kg-14974/p,https://wongfood.vteximg.com.br/arquivos/ids/254547-1000-1000/Arroz-Extra-Costeño-Bolsa-5-Kg-1-4455.jpg?v=636765120201500000
Arroz Extra COSTEÑO Bolsa 5Kg,641425,S/ 17.50,plaza_vea,https://www.plazavea.com.pe/arroz-extra-costeno-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Arroz Extra Costeño Bolsa 5 Kg,14974,S/. 17.19,metro,https://www.metro.pe/arroz-extra-costeno-bolsa-5-kg-14974/p,https://wongfood.vteximg.com.br/arquivos/ids/254547-1000-1000/Arroz-Extra-Costeño-Bolsa-5-Kg-1-4455.jpg?v=636765120201500000
Arroz Extra COSTEÑO Bolsa 5Kg,641425,S/ 20.29,vivanda,https://www.vivanda.com.pe/arroz-extra-costeno-bolsa-5kg/p,https://vivanda.vteximg.com.br/arquivos/ids/165128-618-618/641425.jpg?v=636137791278030000
ARROZ EXTRA COSTENO - BOLSA 5 KG,costeno-arroz-extra-10472604/p/,s/ 19.1,tottus,https://www.tottus.com.pe/costeno-arroz-extra-10472604/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-jEZjxG4h.jpg
Whisky Red Label Johnnie Walker Botella 1 lt,727725,S/. 59.90,wong,https://www.wong.pe/whisky-red-label-johnnie-walker-botella-1-lt-727725/p,https://wongfood.vteximg.com.br/arquivos/ids/361401-1000-1000/Whisky-Red-Label-Johnnie-Walker-Botella-1-lt-1-14836393.jpg?v=637273442748300000
Whisky JOHNNIE WALKER Red Label Botella 1L,216753,S/ 59.90,plaza_vea,https://www.plazavea.com.pe/whisky-johnnie-walker-red-label-botella-1l/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Whisky Red Label Johnnie Walker Botella 1 lt,727725,S/. 59.90,metro,https://www.metro.pe/whisky-red-label-johnnie-walker-botella-1-lt-727725/p,https://wongfood.vteximg.com.br/arquivos/ids/361401-1000-1000/Whisky-Red-Label-Johnnie-Walker-Botella-1-lt-1-14836393.jpg?v=637273442748300000
Whisky JOHNNIE WALKER Red Label Botella 1L,216753,S/ 59.90,vivanda,https://www.vivanda.com.pe/whisky-johnnie-walker-red-label-botella-1l/p,https://vivanda.vteximg.com.br/arquivos/ids/183001-618-618/216753.jpg?v=637225181312230000
WHISKY RED LABEL JOHNNIE-WALKER - BOTELLA 1 LT,johnnie-walker-whisky-red-label-con-estuche-10178071/p/,s/ 59.9,tottus,https://www.tottus.com.pe/johnnie-walker-whisky-red-label-con-estuche-10178071/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-sdVuXdv6.jpg
Gaseosa Coca Cola Botella 500 ml,3814,S/. 2.60,wong,https://www.wong.pe/gaseosa-coca-cola-botella-500-ml-3814/p,https://wongfood.vteximg.com.br/arquivos/ids/344237-1000-1000/frontal-4850.jpg?v=637153129651530000
Gaseosa Coca Cola Botella 500 ml,3814,S/. 2.60,metro,https://www.metro.pe/gaseosa-coca-cola-botella-500-ml-3814/p,https://wongfood.vteximg.com.br/arquivos/ids/344237-1000-1000/frontal-4850.jpg?v=637153129651530000
Gaseosa COCA COLA Botella 500ml,281027,S/ 2.60,plaza_vea,https://www.plazavea.com.pe/gaseosa-coca-cola-botella-500ml/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Gaseosa COCA COLA Botella 500ml,281027,S/ 2.60,vivanda,https://www.vivanda.com.pe/gaseosa-coca-cola-botella-500ml/p,https://vivanda.vteximg.com.br/arquivos/ids/181908-618-618/281027.jpg?v=637153208424570000
GASEOSA NO RETORNABLE COCA-COLA - BOTELLA 500 ML,coca-cola-gaseosa-no-retornable-10164146/p/,s/ 2.6,tottus,https://www.tottus.com.pe/coca-cola-gaseosa-no-retornable-10164146/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-uwcBMGYz.jpg
Gaseosa Inca Kola Botella 500 ml,59539001,S/. 2.60,wong,https://www.wong.pe/gaseosa-inca-kola-botella-500-ml-59539001/p,https://wongfood.vteximg.com.br/arquivos/ids/344200-1000-1000/frontal-4597.jpg?v=637153128880700000
Gaseosa Inca Kola Botella 500 ml,59539001,S/. 2.60,metro,https://www.metro.pe/gaseosa-inca-kola-botella-500-ml-59539001/p,https://wongfood.vteximg.com.br/arquivos/ids/344200-1000-1000/frontal-4597.jpg?v=637153128880700000
Gaseosa INCA KOLA Botella 500ml,497497,S/ 2.60,plaza_vea,https://www.plazavea.com.pe/gaseosa-inca-kola-botella-500ml/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Gaseosa INCA KOLA Botella 500ml,497497,S/ 2.60,vivanda,https://www.vivanda.com.pe/gaseosa-inca-kola-botella-500ml/p,https://vivanda.vteximg.com.br/arquivos/ids/181912-618-618/497497.jpg?v=637153208444270000
GASEOSA INCA-KOLA - BOTELLA 500 ML,inca-kola-gaseosa-10174358/p/,s/ 2.6,tottus,https://www.tottus.com.pe/inca-kola-gaseosa-10174358/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-ImB_nFnV.jpg
Gaseosa Pepsi Botella 500 ml,103181,S/. 2.20,wong,https://www.wong.pe/gaseosa-pepsi-botella-500-ml-103181/p,https://wongfood.vteximg.com.br/arquivos/ids/273848-1000-1000/103181-1.jpg?v=636850638318230000
Gaseosa Pepsi Botella 500 ml,103181,S/. 1.99,metro,https://www.metro.pe/gaseosa-pepsi-botella-500-ml-103181/p,https://wongfood.vteximg.com.br/arquivos/ids/273848-1000-1000/103181-1.jpg?v=636850638318230000
